PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7f48c8e33, ar: 73, fc: 50, num_access: 73, ar_ratio: 100.0 , fc_ratio: 68.5
PAGE pfn: 0x7f48c8e3f, ar: 274, fc: 174, num_access: 388, ar_ratio: 70.6 , fc_ratio: 44.8
PAGE pfn: 0x7f48c881f, ar: 1146, fc: 1225, num_access: 1311, ar_ratio: 87.4 , fc_ratio: 93.4
PAGE pfn: 0x7f48c8820, ar: 831, fc: 500, num_access: 884, ar_ratio: 94.0 , fc_ratio: 56.6
PAGE pfn: 0x7f48c8c7a, ar: 1195, fc: 481, num_access: 1237, ar_ratio: 96.6 , fc_ratio: 38.9
PAGE pfn: 0x7f48c8c77, ar: 1578, fc: 293, num_access: 1594, ar_ratio: 99.0 , fc_ratio: 18.4
PAGE pfn: 0x7f48c8bed, ar: 761, fc: 496, num_access: 776, ar_ratio: 98.1 , fc_ratio: 63.9
PAGE pfn: 0x7f48c8bee, ar: 522, fc: 1262, num_access: 1612, ar_ratio: 32.4 , fc_ratio: 78.3
PAGE pfn: 0x7f48c8a1a, ar: 382, fc: 220, num_access: 393, ar_ratio: 97.2 , fc_ratio: 56.0
PAGE pfn: 0x7f48c8a16, ar: 183, fc: 86, num_access: 186, ar_ratio: 98.4 , fc_ratio: 46.2
PAGE pfn: 0x7f48c8821, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8a17, ar: 538, fc: 96, num_access: 543, ar_ratio: 99.1 , fc_ratio: 17.7
PAGE pfn: 0x7f48c8822, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8823, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8a18, ar: 353, fc: 107, num_access: 360, ar_ratio: 98.1 , fc_ratio: 29.7
PAGE pfn: 0x7f48c8824, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8825, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8826, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8827, ar: 618, fc: 141, num_access: 625, ar_ratio: 98.9 , fc_ratio: 22.6
PAGE pfn: 0x7f48c880f, ar: 61, fc: 11, num_access: 70, ar_ratio: 87.1 , fc_ratio: 15.7
PAGE pfn: 0x7f48c881c, ar: 93, fc: 45, num_access: 96, ar_ratio: 96.9 , fc_ratio: 46.9
PAGE pfn: 0x7f48c8801, ar: 103, fc: 31, num_access: 103, ar_ratio: 100.0 , fc_ratio: 30.1
PAGE pfn: 0x7f48c8803, ar: 83, fc: 14, num_access: 83, ar_ratio: 100.0 , fc_ratio: 16.9
PAGE pfn: 0x7f48c8804, ar: 107, fc: 92, num_access: 173, ar_ratio: 61.8 , fc_ratio: 53.2
PAGE pfn: 0x7f48c8806, ar: 76, fc: 65, num_access: 87, ar_ratio: 87.4 , fc_ratio: 74.7
PAGE pfn: 0x7f48c8818, ar: 155, fc: 46, num_access: 172, ar_ratio: 90.1 , fc_ratio: 26.7
PAGE pfn: 0x7f48c8802, ar: 101, fc: 33, num_access: 101, ar_ratio: 100.0 , fc_ratio: 32.7
PAGE pfn: 0x7f48c880c, ar: 88, fc: 20, num_access: 99, ar_ratio: 88.9 , fc_ratio: 20.2
PAGE pfn: 0x7f48c8816, ar: 85, fc: 28, num_access: 113, ar_ratio: 75.2 , fc_ratio: 24.8
PAGE pfn: 0x7f48c8c01, ar: 1194, fc: 432, num_access: 1223, ar_ratio: 97.6 , fc_ratio: 35.3
PAGE pfn: 0x7f48c8810, ar: 51, fc: 23, num_access: 62, ar_ratio: 82.3 , fc_ratio: 37.1
PAGE pfn: 0x7f48c8817, ar: 95, fc: 23, num_access: 99, ar_ratio: 96.0 , fc_ratio: 23.2
PAGE pfn: 0x7f48c8814, ar: 22, fc: 20, num_access: 42, ar_ratio: 52.4 , fc_ratio: 47.6
PAGE pfn: 0x7f48c880d, ar: 22, fc: 38, num_access: 51, ar_ratio: 43.1 , fc_ratio: 74.5
PAGE pfn: 0x7f48c881b, ar: 239, fc: 39, num_access: 251, ar_ratio: 95.2 , fc_ratio: 15.5
PAGE pfn: 0x7f48c8c02, ar: 1004, fc: 222, num_access: 1021, ar_ratio: 98.3 , fc_ratio: 21.7
PAGE pfn: 0x7f48c8c05, ar: 859, fc: 225, num_access: 872, ar_ratio: 98.5 , fc_ratio: 25.8
PAGE pfn: 0x7f48c8813, ar: 48, fc: 23, num_access: 59, ar_ratio: 81.4 , fc_ratio: 39.0
PAGE pfn: 0x7f48c8c04, ar: 877, fc: 239, num_access: 900, ar_ratio: 97.4 , fc_ratio: 26.6
PAGE pfn: 0x7f48c8811, ar: 51, fc: 11, num_access: 62, ar_ratio: 82.3 , fc_ratio: 17.7
PAGE pfn: 0x7f48c8807, ar: 50, fc: 11, num_access: 61, ar_ratio: 82.0 , fc_ratio: 18.0
PAGE pfn: 0x7f48c880e, ar: 57, fc: 30, num_access: 68, ar_ratio: 83.8 , fc_ratio: 44.1
PAGE pfn: 0x7f48c881d, ar: 202, fc: 30, num_access: 226, ar_ratio: 89.4 , fc_ratio: 13.3
PAGE pfn: 0x7f48c8819, ar: 106, fc: 56, num_access: 137, ar_ratio: 77.4 , fc_ratio: 40.9
