PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7f01b7b19, ar: 73, fc: 17, num_access: 73, ar_ratio: 100.0 , fc_ratio: 23.3
PAGE pfn: 0x7f01b7b25, ar: 274, fc: 155, num_access: 388, ar_ratio: 70.6 , fc_ratio: 39.9
PAGE pfn: 0x7f01b781f, ar: 1146, fc: 548, num_access: 1311, ar_ratio: 87.4 , fc_ratio: 41.8
PAGE pfn: 0x7f01b7820, ar: 831, fc: 217, num_access: 884, ar_ratio: 94.0 , fc_ratio: 24.5
PAGE pfn: 0x7f01b7c7a, ar: 1195, fc: 114, num_access: 1237, ar_ratio: 96.6 , fc_ratio: 9.2
PAGE pfn: 0x7f01b7c77, ar: 1578, fc: 48, num_access: 1594, ar_ratio: 99.0 , fc_ratio: 3.0
PAGE pfn: 0x7f01b7ec2, ar: 761, fc: 46, num_access: 776, ar_ratio: 98.1 , fc_ratio: 5.9
PAGE pfn: 0x7f01b7ec3, ar: 522, fc: 1262, num_access: 1612, ar_ratio: 32.4 , fc_ratio: 78.3
PAGE pfn: 0x7f01b7a1a, ar: 382, fc: 153, num_access: 393, ar_ratio: 97.2 , fc_ratio: 38.9
PAGE pfn: 0x7f01b7a16, ar: 183, fc: 3, num_access: 186, ar_ratio: 98.4 , fc_ratio: 1.6
PAGE pfn: 0x7f01b7821, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7a17, ar: 538, fc: 24, num_access: 543, ar_ratio: 99.1 , fc_ratio: 4.4
PAGE pfn: 0x7f01b7822, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7823, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7a18, ar: 353, fc: 31, num_access: 360, ar_ratio: 98.1 , fc_ratio: 8.6
PAGE pfn: 0x7f01b7824, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7825, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7826, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7827, ar: 618, fc: 31, num_access: 625, ar_ratio: 98.9 , fc_ratio: 5.0
PAGE pfn: 0x7f01b780f, ar: 61, fc: 11, num_access: 70, ar_ratio: 87.1 , fc_ratio: 15.7
