PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7fff4dcd6, ar: 260090061, fc: 45, num_access: 260090106, ar_ratio: 100.0 , fc_ratio: 0.0
PAGE pfn: 0x7f5d06ebc, ar: 4655, fc: 203, num_access: 4858, ar_ratio: 95.8 , fc_ratio: 4.2
PAGE pfn: 0x7f5d06ebb, ar: 11296, fc: 220, num_access: 11516, ar_ratio: 98.1 , fc_ratio: 1.9
PAGE pfn: 0x7f5d06e82, ar: 722, fc: 9, num_access: 731, ar_ratio: 98.8 , fc_ratio: 1.2
PAGE pfn: 0x7f5d06eba, ar: 1008, fc: 3, num_access: 1011, ar_ratio: 99.7 , fc_ratio: 0.3
PAGE pfn: 0x7f5d06e83, ar: 382, fc: 7, num_access: 389, ar_ratio: 98.2 , fc_ratio: 1.8
PAGE pfn: 0x7f5d06ebd, ar: 25685, fc: 98, num_access: 25783, ar_ratio: 99.6 , fc_ratio: 0.4
PAGE pfn: 0x7f5d06eae, ar: 3542, fc: 4, num_access: 3546, ar_ratio: 99.9 , fc_ratio: 0.1
PAGE pfn: 0x7fff4dcd7, ar: 835, fc: 17, num_access: 852, ar_ratio: 98.0 , fc_ratio: 2.0
PAGE pfn: 0x7f5d06eb0, ar: 186, fc: 14, num_access: 200, ar_ratio: 93.0 , fc_ratio: 7.0
PAGE pfn: 0x7fff4dcd5, ar: 336127, fc: 655, num_access: 336782, ar_ratio: 99.8 , fc_ratio: 0.2
PAGE pfn: 0x7f5d06eb4, ar: 0, fc: 2, num_access: 2, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x55fddb56d, ar: 3703, fc: 6, num_access: 3709, ar_ratio: 99.8 , fc_ratio: 0.2
PAGE pfn: 0x7f5d06eaf, ar: 190, fc: 8, num_access: 198, ar_ratio: 96.0 , fc_ratio: 4.0
PAGE pfn: 0x55fddb570, ar: 4504, fc: 11, num_access: 4515, ar_ratio: 99.8 , fc_ratio: 0.2
PAGE pfn: 0x7fff4dd7f, ar: 273, fc: 1, num_access: 274, ar_ratio: 99.6 , fc_ratio: 0.4
PAGE pfn: 0x7f5d06eb1, ar: 25, fc: 21, num_access: 46, ar_ratio: 54.3 , fc_ratio: 45.7
PAGE pfn: 0x7f5cf34f5, ar: 67628, fc: 7, num_access: 67635, ar_ratio: 100.0 , fc_ratio: 0.0
